SKU,Name,Description,Stock,"Weight (kg)",Categories,images
139071,RSC-R2UW-2E8E16,"Supermicro Accessory RSC-R2UW-2E8E16 Riser Card 2U LHS WIO PCI-E x8 x16 Retail",3,1.00,Accessories>Accessories,images/139071.jpg
139088,RDRD-11004,"Rosewill Accessory RDRD-11004 2.5 SSD HDD Mounting Kit for 3.5 Drive Bay RTL",0,0.23,"Accessories>Hard Drive Accessories",images/139088.jpg
139209,RS5212,"HighPoint Storage RS5212 RocketStor Dual-Bay Thunderbolt 10Gb s Storage Dock RT",0,2.47,"Removable Drive>Removable Storage Devices Ext",images/139209.jpg
139211,USB-BT400,"Asus Wireless USB-BT400 Bluetooth v4.0 USB2.0 3Mbps USB Adapter Retail",137,0.21,"Network Device>Bluetooth Wireless Devices",images/139211.jpg
139216,CSE-113MTQ-600CB,"Supermicro Case CSE-113MTQ-600CB 600W 80Plus 8x2.5inch SAS SATA Black Retail",0,29.50,Cases>Server,images/139216.jpg
139298,BKT-BBU-BRACKET-05,"Supermicro AC BKT-BBU-BRACKET-05 Mounting Bracket f LSI BBUs & Power Modules",13,2.00,Accessories>Accessories,images/139298.jpg
139323,AXXE34DRVCBL,"Intel AXXE34DRVCBL SAS cable to go from SAS module to backplane in 1U R1304RP",5,3.00,"Cables>External IDE",images/139323.jpg
139354,"NH-U12DX I4","Noctua NH-U12DX i4 Xeon CPU LGA2011 1356 1366 platform CPU Cooler SSO2 1500RPM",31,3.08,"Fans>Xeon CPU Fan",images/139354.jpg
139355,"NH-U9DX I4","Noctua CPU Cooler NH-U9DX i4 S2011 1356 1366 125mm PWM Fan 12V Retail",18,2.92,"Fans>LGA 1156 CPU Fan",images/139355.jpg
139378,35FCREADBK3,"StarTech 35FCREADBK3 3.5inch Front Bay 22in1 USB2.0 Card Reader Black Retail",181,1.00,Accessories>Accessories,images/139378.jpg
139380,USB3CAB2M,"StarTech Cable USB3CAB2M 2m Certified SuperSpeed USB 3.0 A to B Cable M M BK",0,0.21,"Cables>External IDE",images/139380.jpg
139381,ST4300MINU3B,"StarTech ST4300MINU3B Portable 4 Port SuperSpeed Mini USB 3.0 Hub Black Retail",40,0.31,Accessories>Accessories,images/139381.jpg
139382,ST4300MINU3W,"StarTech ST4300MINU3W Portable 4 Port SuperSpeed Mini USB 3.0 Hub White Retail",0,0.31,Accessories>Accessories,images/139382.jpg
139383,USB3SSATAIDE,"StarTech AC USB3SSATAIDE USB 3.0 to SATA or IDE Hard Drive Adapter Converter",0,1.00,Accessories>Accessories,images/139383.jpg
139458,SNA-BR2/35,"Kingston Accessory SNA-BR2 35 2.5inch to 3.5inch Bracket with Screw for SSD",1423,1.00,"Accessories>Hard Drive Accessories",images/139458.jpg
139544,PLC13BK,"Tripp Lite AC PLC13BK Plug-lock keep C14 power cord connected C13 outlet Black",0,2.35,Accessories>Accessories,images/139544.jpg
139567,ADJSHELFHD,"StarTech AC 1U Adjustable Mounting Depth Rack Mount Shelf Heavy Duty Fixed RTL",0,14.51,Accessories>Accessories,images/139567.jpg
139623,SNK-P0047PD,"Supermicro FN SNK-P0047PD 1U Passive CPU Heatsink for X9DRL Motherboard RoHS",10,1.00,"Fans>Xeon CPU Fan",images/139623.jpg
139654,AOC-SGP-I2,"Supermicro I O Cards AOC-SGP-I2 Standard LP 2Port GbE with Intel i350 Retail",0,3.00,"I/O Card                      >I/O Cards",images/139654.jpg
139662,CSE-813MFTQ-R400CB,"Supermicro CSE-813MFTQ-R400CB 1U 400W 4x3.5SAS2 SATA Bays USB Slim DVD Black",8,29.00,Cases>Server,images/139662.jpg
139667,P134-06N-VGA,"Tripp Lite P134-06N-VGA 6in Displayport to VGA Adapter M F Black Retail",0,0.22,"Accessories>Monitor CB Mount Accessory",images/139667.jpg
139668,USBLT2MB,"StarTech Cable USBLT2MB 2m 8pin Lightning Connector to USB f iPhone iPod iPad",0,0.26,"Cables>External IDE",images/139668.jpg
139669,USBLT1MB,"StarTech Cable USBLT1MB 1m 8pin Lightning Connector to USB f iPhone iPod iPad",0,0.19,"Cables>External IDE",images/139669.jpg
139670,ST4300PBU3,"StarTech ST4300PBU3 4Port Portable SuperSpeed USB3.0 Hub with Built-in Cable",58,0.30,Accessories>Accessories,images/139670.jpg
139672,MDP2DVIMM6B,"StarTech Cable MDP2DVIMM6B 6ft MiniDP to DVI Adapter Converter 1920x1200 Black",0,0.28,"Cables>External IDE",images/139672.jpg
139673,MDP2DVIMM3B,"StarTech Cable MDP2DVIMM3B 3ft MiniDP to DVI Adapter Converter 1920x1200 Black",0,0.28,"Cables>External IDE",images/139673.jpg
139674,FCREADMICRO3,"StarTech FCREADMICRO3 USB3.0 External Flash Multi Media Memory Card Reader SDHC",0,0.31,Accessories>Accessories,images/139674.jpg
139675,HDMM12,"StarTech Cable HDMM12 12ft High Speed HDMI Cable HDMI to HDMI Male Male Retail",0,0.52,"Cables>External IDE",images/139675.jpg
